opabbrev,opname,optype,datasource,count
Non-public,Divine Parking Garage Corp,Non-public,dca_operatingbusinesses,1
Non-public,Imagine Academy,Non-public,nysed_activeinstitutions,1
Non-public,"Manna of Life Ministries, Inc.",Non-public,foodbankny_foodbanks,2
Non-public,Counseling In Schools,Non-public,dohmh_daycare,1
Non-public,Excellence Girls Charter School,Non-public,doe_lcgms,1
Non-public,Ackerman Institute for the Family,Non-public,nysomh_mentalhealth,1
Non-public,Oriental American Education,Non-public,nysed_activeinstitutions,1
Non-public,"Cultural Center for Soviet Refugees, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Usda-Ceo P231k At Ps 238k,Non-public,nysed_activeinstitutions,1
Non-public,Committee For Early Childhood Development DCC,Non-public,doe_universalprek,1
Non-public,Suffolk Parking Inc.,Non-public,dca_operatingbusinesses,1
Non-public,Hudson Guild Counseling Service,Non-public,nysomh_mentalhealth,1
Non-public,Silver Lake Head Start (1),Non-public,nysed_activeinstitutions,1
Non-public,BKA Utica,Non-public,doe_universalprek,1
Non-public,Monsignor E. Roberts Moore (1),Non-public,nysed_activeinstitutions,1
Non-public,Institute For Integrative Nutrition,Non-public,nysed_activeinstitutions,1
Non-public,"S & A Trucking, Ltd.",Non-public,dca_operatingbusinesses,1
Non-public,Upper Room AIDS Ministry Inc: ADHC,Non-public,nysomh_mentalhealth,1
Non-public,Myrdot Realty Corp.,Non-public,dca_operatingbusinesses,1
Non-public,"Park And Go, Llc",Non-public,dca_operatingbusinesses,1
Non-public,Bronx Preparatory Charter School,Non-public,doe_lcgms,1
Non-public,Riverdale Nursery School And Family Center,Non-public,doe_universalprek,1
Non-public,"Apollo Theater Foundation, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,"Issue Project Room, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Holding Hands Ministries,Non-public,foodbankny_foodbanks,1
Non-public,"New Era Collision, Inc.",Non-public,dca_operatingbusinesses,2
Non-public,Teachers College,Non-public,nysed_activeinstitutions,1
Non-public,Ss Hilda & Hugh School,Non-public,nysed_activeinstitutions,1
Non-public,Jewish Special Education & Developme,Non-public,nysed_activeinstitutions,1
Non-public,Northern Manhattan Head Start,Non-public,doe_universalprek,1
Non-public,Prentuss Corp,Non-public,dca_operatingbusinesses,1
Non-public,Putnam Gardens Parking Corp.,Non-public,dca_operatingbusinesses,1
Non-public,Center For Allied Health Education,Non-public,nysed_activeinstitutions,1
Non-public,Flushing Hospital Medical Center,Non-public,nysed_activeinstitutions,1
Non-public,St John Baptist,Non-public,nysed_activeinstitutions,1
Non-public,Congregation Machna Shalva,Non-public,nysed_activeinstitutions,1
Non-public,Immaculate Conception School,Non-public,doe_universalprek,3
Non-public,"New York Institute for Haiti Advocacy, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,"Bardouille, Lillie",Non-public,dca_operatingbusinesses,1
Non-public,Sardar Ji Towing Inc,Non-public,dca_operatingbusinesses,1
Non-public,"Linden Place, Llc",Non-public,dca_operatingbusinesses,1
Non-public,451 Carroll Street Corp.,Non-public,dca_operatingbusinesses,1
Non-public,"Jackie'S Care Corner, Ltd",Non-public,nysed_activeinstitutions,1
Non-public,A & R Collision Experts Corp,Non-public,dca_operatingbusinesses,1
Non-public,Ernest Massa Family Llc,Non-public,dca_operatingbusinesses,1
Non-public,September 11th Widows and Victim Families Association,Non-public,dcla_culturalinstitutions,1
Non-public,145 Bradhurst Garage Corp.,Non-public,dca_operatingbusinesses,1
Non-public,"Doing Art Together, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Hebrew Academy For Special Children,Non-public,dohmh_daycare,1
Non-public,Department Of Youth At Ccny,Non-public,nysed_activeinstitutions,1
Non-public,Thomas Askin Youth Program,Non-public,nysed_activeinstitutions,1
Non-public,Jkh Business Corp,Non-public,dca_operatingbusinesses,1
Non-public,"Riverside Theatre, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Dry Dock Pool,Non-public,nysed_activeinstitutions,1
Non-public,Shaare Torah School,Non-public,nysed_activeinstitutions,1
Non-public,Classic Towing Inc,Non-public,dca_operatingbusinesses,1
Non-public,Federation Of Multicultural Program  Inc,Non-public,nysopwdd_providers,1
Non-public,"Collected Objects, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,"Elastic City Performing Arts, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Variety Boys And Girls Club Of Queens,Non-public,nysed_activeinstitutions,1
Non-public,"280 Broadway Car Park, Llc",Non-public,dca_operatingbusinesses,1
Non-public,Calucci Park Pl,Non-public,nysed_activeinstitutions,1
Non-public,Hebron Sda Bilingual School,Non-public,nysed_activeinstitutions,1
Non-public,Central Synagogue,Non-public,dohmh_daycare,1
Non-public,"Alwayz1.2.3. Early Learning Center, Inc.",Non-public,doe_universalprek,1
Non-public,People'S Cathedral Of Brooklyn,Non-public,nysed_activeinstitutions,1
Non-public,"Writers Room, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Fast Track Auto Body And Repairs Inc.,Non-public,dca_operatingbusinesses,1
Non-public,Qp 50/70 West 93rd Street Llc,Non-public,dca_operatingbusinesses,2
Non-public,FEDCAP Rehabilitation Services Inc.,Non-public,nysomh_mentalhealth,1
Non-public,Be Above #27,Non-public,doe_universalprek,1
Non-public,"Surgery of Tomorrow, L.L.C.",Non-public,nysdoh_healthfacilities,1
Non-public,Art For Progress,Non-public,dcla_culturalinstitutions,1
Non-public,Father Drumgoole Cyo Camp,Non-public,nysed_activeinstitutions,1
Non-public,Lower Manhattan Cultural Council,Non-public,dcla_culturalinstitutions,1
Non-public,"Metro Community Health Centers, Inc.",Non-public,nysdoh_healthfacilities,4
Non-public,"Ten Penny Players, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Impark Water Llc,Non-public,dca_operatingbusinesses,1
Non-public,SI YMCA NURSERY - NORTH,Non-public,doe_universalprek,1
Non-public,"Kweli Journal, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Inwood Community Services Inc.,Non-public,nysomh_mentalhealth,1
Non-public,King Emmanuel Community Services,Non-public,foodbankny_foodbanks,1
Non-public,"Les Enfants Montessori School,Inc.",Non-public,dohmh_daycare,1
Non-public,"Stuttering Association for the Young, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Courtesy Parking Llc,Non-public,dca_operatingbusinesses,1
Non-public,"All Out Arts, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Intercounty Towing & Collision Inc.,Non-public,dca_operatingbusinesses,1
Non-public,"Sunshine Lc Of Lexington, Llc",Non-public,dohmh_daycare,1
Non-public,Little Munchkins Playgroup 56 Inc.,Non-public,dohmh_daycare,1
Non-public,Park Armorymanagement Llc,Non-public,dca_operatingbusinesses,1
Non-public,Art Institute Of New York City,Non-public,nysed_activeinstitutions,1
Non-public,"Flatbush Auto Body, Inc.",Non-public,dca_operatingbusinesses,1
Non-public,Pps Gold Llc,Non-public,dca_operatingbusinesses,1
Non-public,"New York Artificial Kidney Center, Inc.",Non-public,nysdoh_healthfacilities,1
Non-public,The Toddlers Shop,Non-public,nysed_activeinstitutions,1
Non-public,"Chabad Of Washington Heights, Inc.",Non-public,dohmh_daycare,1
Non-public,Riverdale Country School,Non-public,nysed_activeinstitutions,1
Non-public,Antioch Outreach,Non-public,foodbankny_foodbanks,1
Non-public,Usda-Ceo P373k At Ps 369,Non-public,nysed_activeinstitutions,1
Non-public,Blue Star Day Care Center,Non-public,doe_universalprek,1
Non-public,"Cima Parking, Inc.",Non-public,dca_operatingbusinesses,1
Non-public,Fort Greene Hugh Gilroy Senior Center,Non-public,foodbankny_foodbanks,1
Non-public,305 East 80th Parking Llc,Non-public,dca_operatingbusinesses,1
Non-public,"Park Slope Day Camp, Inc.",Non-public,dohmh_daycare,2
Non-public,Jade Multi Family,Non-public,nysed_activeinstitutions,1
Non-public,Action Environmental Systems LLC,Non-public,nysdec_solidwaste,1
Non-public,Visiting Nurse Service of New York Home Care II,Non-public,nysdoh_healthfacilities,2
Non-public,Crotona Parkway Garage Inc.,Non-public,dca_operatingbusinesses,2
Non-public,Our Little Angels Corp,Non-public,dohmh_daycare,1
Non-public,"Carnegie Car Park, Inc.",Non-public,dca_operatingbusinesses,1
Non-public,Abe Lincoln Mini Pool,Non-public,nysed_activeinstitutions,1
Non-public,"Jackson Heights Care Center, LLC",Non-public,nysdoh_healthfacilities,1
Non-public,Rutgers Community Center,Non-public,nysed_activeinstitutions,1
Non-public,"Central Iron & Metal Co., Llc",Non-public,dca_operatingbusinesses,2
Non-public,Ps 82 Annex Temple Reform,Non-public,nysed_activeinstitutions,1
Non-public,Chelnick Parking Corp,Non-public,dca_operatingbusinesses,1
Non-public,Rite Way Towing And Recovery Inc.,Non-public,dca_operatingbusinesses,1
Non-public,M&A Scrap Metal Corp.,Non-public,dca_operatingbusinesses,1
Non-public,Lighthouse International,Non-public,dcla_culturalinstitutions,1
Non-public,Danae Marrero,Non-public,dca_operatingbusinesses,2
Non-public,Bedford Stuyvesant ECDC 265,Non-public,doe_universalprek,1
Non-public,Gold Material Montessori School,Non-public,doe_universalprek,1
Non-public,Unknown,Non-public,nysdec_solidwaste,5
Non-public,Cuny In The Heights,Non-public,dohmh_daycare,1
Non-public,Columbia Water Front Llc,Non-public,dca_operatingbusinesses,1
Non-public,Yeshiva Of Brooklyn,Non-public,nysed_activeinstitutions,2
Non-public,169 Ludlow Parking Llc,Non-public,dca_operatingbusinesses,1
Non-public,1161 Parking Lot Corp.,Non-public,dca_operatingbusinesses,1
Non-public,Usda-Ceo P224q At Ms 158 Marie Curie,Non-public,nysed_activeinstitutions,1
Non-public,Planned Parenthood of New York City Inc,Non-public,nysdoh_healthfacilities,6
Non-public,Twotwotwo 58 Garage Llc,Non-public,dca_operatingbusinesses,1
Non-public,"Allstar Bartenders Training Of Manhattan, Inc.",Non-public,nysed_activeinstitutions,1
Non-public,Emmanuel Baptist Church,Non-public,dohmh_daycare,1
Non-public,Bipi Eliot Ny Inc,Non-public,dca_operatingbusinesses,1
Non-public,Public Art Fund,Non-public,nysed_activeinstitutions,1
Non-public,550 West 45th St. Garage Llc,Non-public,dca_operatingbusinesses,1
Non-public,"Saeko Ichinohe and Company, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,American Career Center Inc,Non-public,nysed_activeinstitutions,1
Non-public,Fleur Garage Corp.,Non-public,dca_operatingbusinesses,1
Non-public,Allen Christian School,Non-public,nysed_activeinstitutions,1
Non-public,Nycha Betances,Non-public,nysed_activeinstitutions,1
Non-public,Congregation Rodeph Sholom,Non-public,dohmh_daycare,1
Non-public,Usda-Ceo P811q At Ps 69q,Non-public,nysed_activeinstitutions,1
Non-public,"90 St. Operating, Llc",Non-public,dca_operatingbusinesses,1
Non-public,New York School For Medical & Dental Assistants,Non-public,nysed_activeinstitutions,1
Non-public,Christ Abundant Life Ministries,Non-public,foodbankny_foodbanks,1
Non-public,El Descanso Corp.,Non-public,dca_operatingbusinesses,1
Non-public,Impressive Towing Inc,Non-public,dca_operatingbusinesses,1
Non-public,Congregation Darkei Avos Sanz Of Bp,Non-public,nysed_activeinstitutions,1
Non-public,Archdiocese Of New York- Transfiguration School,Non-public,dohmh_daycare,1
Non-public,American Bible Society,Non-public,nysed_activeinstitutions,1
Non-public,Bright Beginnings,Non-public,nysed_activeinstitutions,1
Non-public,Saint Joseph The Worker Catholic Academy,Non-public,dohmh_daycare,1
Non-public,Parking 31 Management Llc,Non-public,dca_operatingbusinesses,1
Non-public,23rd Street Parking Llc,Non-public,dca_operatingbusinesses,1
Non-public,Brower Park,Non-public,nysed_activeinstitutions,1
Non-public,"Gan, Inc. - Gan Jewish Day Care",Non-public,doe_universalprek,1
Non-public,Power Parking S Corp.,Non-public,dca_operatingbusinesses,1
Non-public,Rusty Staub Food Pantry,Non-public,foodbankny_foodbanks,1
Non-public,Daniel Webster Houses,Non-public,nysed_activeinstitutions,1
Non-public,"Taupe Car Park, Llc",Non-public,dca_operatingbusinesses,1
Non-public,Settlement Health,Non-public,nysdoh_healthfacilities,2
Non-public,"Riverside Montessori, Inc.",Non-public,doe_universalprek,1
Non-public,"Harlem9, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,"Eastgate Parking Leasehold, Llc",Non-public,dca_operatingbusinesses,1
Non-public,Phillip Bus Corp (B2192),Non-public,doe_busroutesgarages,3
Non-public,Ec New York,Non-public,nysed_activeinstitutions,1
Non-public,Community Kitchen and Food Pantry (Kitchen),Non-public,foodbankny_foodbanks,1
Non-public,Yeshiva Prep High School,Non-public,nysed_activeinstitutions,1
Non-public,"Inter Boro Bell & Buzzer, Inc.",Non-public,dca_operatingbusinesses,1
Non-public,Child School (The),Non-public,nysed_activeinstitutions,1
Non-public,New York Center for Autism Charter School,Non-public,doe_lcgms,1
Non-public,Muller Works Foundation,Non-public,dcla_culturalinstitutions,1
Non-public,Saint Clare School,Non-public,nysed_activeinstitutions,2
Non-public,Bpg 149th M Llc,Non-public,dca_operatingbusinesses,1
Non-public,Bay Ridge Child Care Center,Non-public,doe_universalprek,1
Non-public,"Speculum Musicae, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Yeshiva Bnos Spinka,Non-public,nysed_activeinstitutions,1
Non-public,337 Parking Llc,Non-public,dca_operatingbusinesses,1
Non-public,Bronxworks Inc,Non-public,dfta_contracts,5
Non-public,Allie Garage Corp.,Non-public,dca_operatingbusinesses,1
Non-public,"The Rabbinical Committee Of Brownstone Brooklyn, Inc",Non-public,dohmh_daycare,1
Non-public,Creative Capital Foundation,Non-public,dcla_culturalinstitutions,1
Non-public,Fox Playground,Non-public,nysed_activeinstitutions,1
Non-public,Nycha-Gun Hill Community Center,Non-public,nysed_activeinstitutions,1
Non-public,St. John'S Episcopal Hospital Frc,Non-public,nysed_activeinstitutions,1
Non-public,Nyc Parks-Markham Playground,Non-public,nysed_activeinstitutions,1
Non-public,F & F E. 70 St. Corp.,Non-public,dca_operatingbusinesses,1
Non-public,Chabad Of Prospect Heights-Brownstone Gan Katan,Non-public,dohmh_daycare,1
Non-public,"GPDDC, LLC",Non-public,nysdoh_healthfacilities,1
Non-public,Kids At Work,Non-public,dohmh_daycare,1
Non-public,Kreative Kare Day Care,Non-public,nysed_activeinstitutions,1
Non-public,Yeshivat Lev Torah High School,Non-public,nysed_activeinstitutions,1
Non-public,225 East 63rd Parking Corp,Non-public,dca_operatingbusinesses,1
Non-public,"The Rabbinical Committee Of Brownstone Brooklyn (Chabad Of Park Slope), Inc.",Non-public,dohmh_daycare,1
Non-public,"Fortune Society, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Ace Institute Of Technology,Non-public,nysed_activeinstitutions,3
Non-public,163 Parking Llc,Non-public,dca_operatingbusinesses,1
Non-public,"Danielle'S Educating For The Future, Inc.",Non-public,dohmh_daycare,1
Non-public,Beat The Street Wrestling,Non-public,nysed_activeinstitutions,1
Non-public,Brooklyn Friends School,Non-public,nysed_activeinstitutions,1
Non-public,Hope Family Worship Ctr Vbs,Non-public,nysed_activeinstitutions,1
Non-public,West 79 Street Garage Corp.,Non-public,dca_operatingbusinesses,1
Non-public,City Cruisers Limited,Non-public,dca_operatingbusinesses,1
Non-public,"Tribeca Play, Inc",Non-public,dohmh_daycare,1
Non-public,"Lyric Chamber Music Society of New York, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,"Oren Apartments, Llc",Non-public,dca_operatingbusinesses,1
Non-public,"Racoco Productions, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Brooklyn Public Library-Bay Ridge,Non-public,nysed_activeinstitutions,1
Non-public,"Pinos Jr, Florencio A",Non-public,dca_operatingbusinesses,1
Non-public,University Avenue Rehab,Non-public,nysed_activeinstitutions,1
Non-public,"Cumbe: Center for African and Diaspora Dance, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Ps213 Summer Program,Non-public,nysed_activeinstitutions,1
Non-public,Palladia Inc.,Non-public,nysomh_mentalhealth,1
Non-public,Bloomingdale Family Program III,Non-public,doe_universalprek,1
Non-public,"Compcare Therapeutics, Inc.",Non-public,nysed_activeinstitutions,1
Non-public,HEARTSHARE HUMAN SERVICES OF NEW YORK,Non-public,doe_universalprek,1
Non-public,Alternate Learning Center At Albany Avenue Center,Non-public,nysed_activeinstitutions,1
Non-public,"The Kid'S Korner Preschool, Llc.",Non-public,dohmh_daycare,1
Non-public,Nyulmc H Garage Corp.,Non-public,dca_operatingbusinesses,1
Non-public,Archive for Research in Archetypal Symbolism,Non-public,dcla_culturalinstitutions,1
Non-public,"Camera Club of New York, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,The Berkeley Carroll School,Non-public,dohmh_daycare,2
Non-public,"viBe Theater Experience, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Dominick Vitucci,Non-public,nysdec_solidwaste,1
Non-public,Metro Tech Career Institute Inc,Non-public,nysed_activeinstitutions,1
Non-public,Lisma Langauge Center - Manhattan Campus,Non-public,nysed_activeinstitutions,1
Non-public,Summit Academy Charter School,Non-public,doe_lcgms,1
Non-public,"Alliance for Downtown New York, Inc",Non-public,dcla_culturalinstitutions,1
Non-public,"Gastroenterology Care, Inc",Non-public,nysdoh_healthfacilities,1
Non-public,"St.Thomas More Play Group, Inc.",Non-public,dohmh_daycare,1
Non-public,"Big Apple Performing Arts, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,West Side Federation For Senior And Supportive Hou,Non-public,dfta_contracts,2
Non-public,All Pro Autobody Inc.,Non-public,dca_operatingbusinesses,1
Non-public,Djr Parking Llc,Non-public,dca_operatingbusinesses,1
Non-public,Briar Hill Realty Llc,Non-public,dca_operatingbusinesses,4
Non-public,Brooklyn Emerging Leaders Academy,Non-public,doe_lcgms,1
Non-public,St. Ann's Church of Morrisania,Non-public,foodbankny_foodbanks,2
Non-public,Kree Inst Of Electrolysis Inc,Non-public,nysed_activeinstitutions,1
Non-public,"Ace Towing & Recovery Service, Inc.",Non-public,dca_operatingbusinesses,1
Non-public,Horizon Theatre Rep,Non-public,dcla_culturalinstitutions,1
Non-public,South Road Tabernacle,Non-public,nysed_activeinstitutions,1
Non-public,"Broadway League Foundation, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Little Angels Daycare (Group Family),Non-public,nysed_activeinstitutions,1
Non-public,Empire Coach Inc,Non-public,dca_operatingbusinesses,1
Non-public,Southeast Bronx Center,Non-public,nysed_activeinstitutions,1
Non-public,Catholic School Region Of Manhattan,Non-public,dohmh_daycare,1
Non-public,Centro Social La Esperanza  Inc.,Non-public,nysopwdd_providers,1
Non-public,Barclay Street Parking Llc,Non-public,dca_operatingbusinesses,1
Non-public,Direct Parking Llc,Non-public,dca_operatingbusinesses,1
Non-public,"Sapphire Center for Rehabilitation and Nursing of Central Queens, LLC",Non-public,nysdoh_healthfacilities,1
Non-public,Gershow Recycling Corporation,Non-public,nysdec_solidwaste,1
Non-public,Nassau St. Garage Corp.,Non-public,dca_operatingbusinesses,1
Non-public,J.C. Parking Corp.,Non-public,dca_operatingbusinesses,1
Non-public,Bnos Zion Of Bobov,Non-public,dohmh_daycare,1
Non-public,"Wreckio Ensemble Theatre, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Queen Of Rosary Catholic Academy,Non-public,nysed_activeinstitutions,1
Non-public,General Theological Seminary Of The Protestant Episcopal Church In The U.S.,Non-public,dohmh_daycare,1
Non-public,Big Apple Stars Day Care Inc.',Non-public,dohmh_daycare,1
Non-public,"Nyc Elite Gymnastics Ii, Inc.",Non-public,dohmh_daycare,1
Non-public,Achievement First Bushwick Charter School,Non-public,doe_lcgms,1
Non-public,The Brainy Bunch Day Care & Learning Center Inc,Non-public,dohmh_daycare,1
Non-public,Learning And Fun Llc,Non-public,dohmh_daycare,1
Non-public,"Alliance of Queens Artists, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Ready Money Automotive Inc.,Non-public,dca_operatingbusinesses,1
Non-public,Zion Gospel Church,Non-public,nysed_activeinstitutions,1
Non-public,C & R Towing Ltd.,Non-public,dca_operatingbusinesses,1
Non-public,Interfaith Medical Center,Non-public,nysdoh_healthfacilities,4
Non-public,Super Towing Of Bk Inc,Non-public,dca_operatingbusinesses,1
Non-public,Brooklyn Dreams Charter School,Non-public,doe_lcgms,1
Non-public,Tti Careers Llc,Non-public,nysed_activeinstitutions,1
Non-public,"Merkaz-The Center, Inc.",Non-public,dohmh_daycare,1
Non-public,Ps 046 Edgar Allan Poe Annex,Non-public,nysed_activeinstitutions,1
Non-public,Wah Chang Metal Trading Inc.,Non-public,dca_operatingbusinesses,1
Non-public,"Korean American Heritage Foundation, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,147 Best Garage Corp.,Non-public,dca_operatingbusinesses,1
Non-public,"Looking Glass Theatre, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Auto Queens Towing Corp.,Non-public,dca_operatingbusinesses,1
Non-public,Crown Heights Automotive Inc.,Non-public,dca_operatingbusinesses,1
Non-public,Electronic Music Foundation,Non-public,nysed_activeinstitutions,1
Non-public,Our Lady Of The Blessed Sacrament Catholic Academy,Non-public,nysed_activeinstitutions,1
Non-public,Johnny'S Auto Body Inc.,Non-public,dca_operatingbusinesses,1
Non-public,Gs Jerome Services Inc.,Non-public,dca_operatingbusinesses,1
Non-public,Stepping Stones 86 Llc,Non-public,dohmh_daycare,2
Non-public,Center For Traditional Music Dance,Non-public,nysed_activeinstitutions,1
Non-public,Italian American Museum,Non-public,dcla_culturalinstitutions,1
Non-public,International Pentecostal,Non-public,foodbankny_foodbanks,1
Non-public,Marine Park Pal,Non-public,nysed_activeinstitutions,1
Non-public,Manhattan Community Access Corporation,Non-public,dcla_culturalinstitutions,1
Non-public,Catholic Charities Community Services Archdiocese Of New York,Non-public,dohmh_daycare,1
Non-public,"Naegele, Dorothy",Non-public,dca_operatingbusinesses,1
Non-public,Gordons Auto Service & Repairs Inc.,Non-public,dca_operatingbusinesses,1
Non-public,Youth On The Move In The Community,Non-public,dohmh_daycare,1
Non-public,"Teachers & Writers Collaborative, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,New York Dialysis Services Inc,Non-public,nysdoh_healthfacilities,12
Non-public,"Welltone New Music, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,North Star Auto Collision Inc.,Non-public,dca_operatingbusinesses,1
Non-public,Open Door CCC,Non-public,doe_universalprek,1
Non-public,Jeanne Otter Youth Center,Non-public,nysed_activeinstitutions,1
Non-public,"Saint PeterS Evangelical Lutheran Church, In The Borough Of Brooklyn, City Of New York",Non-public,dohmh_daycare,1
Non-public,Cardinal Spellman Head Start,Non-public,nysed_activeinstitutions,1
Non-public,Imperial Auto Coach Inc.,Non-public,dca_operatingbusinesses,1
Non-public,"Learning Steps Day Care Center, Inc.",Non-public,dohmh_daycare,1
Non-public,Kelly Park,Non-public,nysed_activeinstitutions,1
Non-public,First Baptist Church,Non-public,foodbankny_foodbanks,2
Non-public,Quik Park Eagle Llc,Non-public,dca_operatingbusinesses,1
Non-public,Divine Union Grove Baptist Church,Non-public,nysed_activeinstitutions,1
Non-public,Cortelyou Day Camp,Non-public,nysed_activeinstitutions,1
Non-public,Sesame Sprout,Non-public,doe_universalprek,1
Non-public,401 East 86th Street Parking Llc,Non-public,dca_operatingbusinesses,1
Non-public,Vma Automotive Llc,Non-public,dca_operatingbusinesses,1
Non-public,"Angel Star Day Care Center, Inc.",Non-public,dohmh_daycare,1
Non-public,Sherman Parking Inc.,Non-public,dca_operatingbusinesses,1
Non-public,Claver Place Parking Corp.,Non-public,dca_operatingbusinesses,1
Non-public,"Omni Ensemble, Ltd.",Non-public,dcla_culturalinstitutions,1
Non-public,Kochavim,Non-public,dohmh_daycare,1
Non-public,Hudson Guild Children's Center I,Non-public,doe_universalprek,1
Non-public,Nic-Way Corporation,Non-public,dca_operatingbusinesses,1
Non-public,Friends of Crown Heights 16,Non-public,doe_universalprek,1
Non-public,Yeshiva University High School For Girls,Non-public,nysed_activeinstitutions,1
Non-public,"Covenant Ballet Theatre of Brooklyn, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Charosa Day Camp,Non-public,nysed_activeinstitutions,1
Non-public,"Reel Lives, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Ggg Parking Garage Corp.,Non-public,dca_operatingbusinesses,1
Non-public,Blanton-Peale Institute,Non-public,nysomh_mentalhealth,1
Non-public,"Threshold Dance Projects, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Dawns Auto Sales LTD,Non-public,nysdec_solidwaste,1
Non-public,Saint Francis Preparatory School,Non-public,nysed_activeinstitutions,1
Non-public,Long Island String Quartet,Non-public,dcla_culturalinstitutions,1
Non-public,S Auto Sales Corp,Non-public,dca_operatingbusinesses,1
Non-public,"Shotgun Productions, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Children's Museum of the Arts,Non-public,dcla_culturalinstitutions,1
Non-public,Parsons Dance Foundation,Non-public,dcla_culturalinstitutions,1
Non-public,"Mall 92-30 Associates, Llc",Non-public,dca_operatingbusinesses,1
Non-public,SAINT CHRISTOPHER SCHOOL,Non-public,doe_universalprek,1
Non-public,SCO Family of Services,Non-public,doe_universalprek,2
Non-public,Click Parking Corp.,Non-public,dca_operatingbusinesses,1
Non-public,Project Hope Charities,Non-public,foodbankny_foodbanks,1
Non-public,"FreshStart-Cultural Theatre Arts Productions, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Refrigeration Institute Inc,Non-public,nysed_activeinstitutions,1
Non-public,Queensboro Temple,Non-public,nysed_activeinstitutions,1
Non-public,East 79th Street Parking Llc,Non-public,dca_operatingbusinesses,1
Non-public,420 East 72nd Garage Corp.,Non-public,dca_operatingbusinesses,1
Non-public,Stefanie Nelson Dance Group,Non-public,dcla_culturalinstitutions,1
Non-public,Little Stars 3,Non-public,doe_universalprek,1
Non-public,Saint Ignatius School,Non-public,nysed_activeinstitutions,1
Non-public,Quik Park East 39th Street Lot Llc,Non-public,dca_operatingbusinesses,1
Non-public,23rd Street Parking Inc.,Non-public,dca_operatingbusinesses,1
Non-public,"Mekong, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,"Dreams & Miracles, Inc",Non-public,nysed_activeinstitutions,1
Non-public,Grace Christian Ed Ctr,Non-public,nysed_activeinstitutions,1
Non-public,First Presbyterian Church,Non-public,foodbankny_foodbanks,1
Non-public,Chelsea Film Festival,Non-public,dcla_culturalinstitutions,1
Non-public,Lower East Side Girls Club,Non-public,dcla_culturalinstitutions,1
Non-public,Saint Mel Catholic Academy,Non-public,doe_universalprek,1
Non-public,"Dominicana Towing Services, Corp.",Non-public,dca_operatingbusinesses,1
Non-public,Cambria Heights Community Church,Non-public,nysed_activeinstitutions,1
Non-public,ANDHOW! Theater Company Inc.,Non-public,dcla_culturalinstitutions,1
Non-public,R & M Parking Corp.,Non-public,dca_operatingbusinesses,1
Non-public,Laight Street Parking  Llc,Non-public,dca_operatingbusinesses,1
Non-public,Literary Arts & Film Foundation Inc.,Non-public,dcla_culturalinstitutions,1
Non-public,Lyfe Program At M081,Non-public,nysed_activeinstitutions,1
Non-public,Sexy Nail Inst,Non-public,nysed_activeinstitutions,1
Non-public,William L. Chisholm Hdfc #2,Non-public,nysed_activeinstitutions,1
Non-public,"ENSEMBLE MISE-EN, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Teachers And Writers Collaborative,Non-public,nysed_activeinstitutions,1
Non-public,Taiwanese American Association of New York,Non-public,dcla_culturalinstitutions,1
Non-public,Saint Peter - Saint Paul School,Non-public,doe_universalprek,1
Non-public,Trabajamos Community Head Start,Non-public,doe_universalprek,3
Non-public,Bnos Sanz,Non-public,nysed_activeinstitutions,1
