opabbrev,opname,optype,datasource,count
Non-public,Morningside House,Non-public,nysed_activeinstitutions,1
Non-public,Studio School (The),Non-public,nysed_activeinstitutions,1
Non-public,Darkei Tshivo Of Dinov,Non-public,nysed_activeinstitutions,1
Non-public,Noble Maritime Collection,Non-public,dcla_culturalinstitutions,1
Non-public,N.Y. Ple Inc,Non-public,dca_operatingbusinesses,1
Non-public,"Public Art Fund, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,St. Peter's Church in the Bronx,Non-public,foodbankny_foodbanks,1
Non-public,Alwan Foundation,Non-public,dcla_culturalinstitutions,1
Non-public,Astoria Central Parking Llc,Non-public,dca_operatingbusinesses,1
Non-public,Allied Transit Corp.,Non-public,doe_busroutesgarages,3
Non-public,Yeshiva Ahavas Torah,Non-public,nysed_activeinstitutions,1
Non-public,Yeshivat Shaare Torah,Non-public,doe_universalprek,1
Non-public,Esl Lang Ctrs,Non-public,nysed_activeinstitutions,1
Non-public,COPO Pre-K Program,Non-public,doe_universalprek,1
Non-public,Fort Greene Park,Non-public,nysed_activeinstitutions,1
Non-public,"Choral Chameleon, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Eating Disorder Treatment of New York LLC,Non-public,nysomh_mentalhealth,1
Non-public,Brooklyn Public Library Gerritsen Be,Non-public,nysed_activeinstitutions,1
Non-public,NYU Langone Hospitals,Non-public,nysdoh_healthfacilities,82
Non-public,Relief Resources Inc.,Non-public,nysomh_mentalhealth,1
Non-public,"Summit Glory, Llc",Non-public,dca_operatingbusinesses,1
Non-public,P035m At Adolescent Skills Center,Non-public,nysed_activeinstitutions,1
Non-public,"Eugenio Maria de Hostos Community College Foundation, Inc.",Non-public,dcla_culturalinstitutions,1
Non-public,Sarah D. Roosevelt Park (Mobile),Non-public,nysed_activeinstitutions,1
Non-public,"Rosario, Heriberto",Non-public,dca_operatingbusinesses,1
Non-public,Cj Car Care Inc,Non-public,dca_operatingbusinesses,1
